"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2017 - 02","138145","26.1","3","0.0","8.7","1","-66.7","17.4","2","NaN.0"
"2017 - 03","138172","26.1","3","0.0","8.7","1","0.0","0","0","-100.0"
"2017 - 04","138200","34.7","4","33.3","26","3","200.0","0","0","NaN.0"
"2017 - 05","138227","43.4","5","25.0","17.4","2","-33.3","0","0","NaN.0"
"2017 - 06","138255","26","3","-40.0","17.4","2","0.0","17.4","2","NaN.0"
"2017 - 07","138282","8.7","1","-66.7","26","3","50.0","8.7","1","-50.0"
"2017 - 08","138302","26","3","200.0","8.7","1","-66.7","0","0","-100.0"
"2017 - 09","138322","17.4","2","-33.3","17.4","2","100.0","0","0","NaN.0"
"2017 - 10","138343","34.7","4","100.0","26","3","50.0","0","0","NaN.0"
"2017 - 11","138363","112.7","13","225.0","60.7","7","133.3","0","0","NaN.0"
"2017 - 12","138383","17.3","2","-84.6","8.7","1","-85.7","0","0","NaN.0"
"2018 - 01","138403","17.3","2","0.0","8.7","1","0.0","0","0","NaN.0"
"2018 - 02","138423","17.3","2","0.0","8.7","1","0.0","17.3","2","NaN.0"
"2018 - 03","138443","43.3","5","150.0","17.3","2","100.0","8.7","1","-50.0"
"2018 - 04","138464","8.7","1","-80.0","8.7","1","-50.0","0","0","-100.0"
"2018 - 05","138484","34.7","4","300.0","17.3","2","100.0","0","0","NaN.0"
"2018 - 06","138504","0","0","-100.0","8.7","1","-50.0","0","0","NaN.0"
"2018 - 07","138524","17.3","2","NaN.0","17.3","2","100.0","8.7","1","NaN.0"
"2018 - 08","138540","69.3","8","300.0","17.3","2","0.0","0","0","-100.0"
"2018 - 09","138556","26","3","-62.5","8.7","1","-50.0","0","0","NaN.0"
"2018 - 10","138572","26","3","0.0","26","3","200.0","8.7","1","NaN.0"
"2018 - 11","138588","26","3","0.0","17.3","2","-33.3","17.3","2","100.0"
"2018 - 12","138604","60.6","7","133.3","26","3","50.0","8.7","1","-50.0"
