"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2008 - 05","119633","20.1","2","-66.7","40.1","4","300.0","20.1","2","100.0"
"2008 - 06","119616","40.1","4","100.0","0","0","-100.0","10","1","-50.0"
"2008 - 07","119598","40.1","4","0.0","40.1","4","NaN.0","0","0","-100.0"
"2008 - 08","119542","100.4","10","150.0","60.2","6","50.0","20.1","2","NaN.0"
"2008 - 09","119485","20.1","2","-80.0","40.2","4","-33.3","0","0","-100.0"
"2008 - 10","119429","80.4","8","300.0","10","1","-75.0","10","1","NaN.0"
"2008 - 11","119372","70.4","7","-12.5","50.3","5","400.0","0","0","-100.0"
"2008 - 12","119316","30.2","3","-57.1","40.2","4","-20.0","20.1","2","NaN.0"
"2009 - 01","119260","40.2","4","33.3","50.3","5","25.0","10.1","1","-50.0"
"2009 - 02","119203","50.3","5","25.0","10.1","1","-80.0","20.1","2","100.0"
"2009 - 03","119147","20.1","2","-60.0","30.2","3","200.0","0","0","-100.0"
"2009 - 04","119090","30.2","3","50.0","20.2","2","-33.3","10.1","1","NaN.0"
"2009 - 05","119034","60.5","6","100.0","10.1","1","-50.0","10.1","1","0.0"
"2009 - 06","118977","60.5","6","0.0","30.3","3","200.0","0","0","-100.0"
"2009 - 07","118921","40.4","4","-33.3","60.5","6","100.0","20.2","2","NaN.0"
"2009 - 08","118902","60.6","6","50.0","20.2","2","-66.7","10.1","1","-50.0"
"2009 - 09","118882","70.7","7","16.7","50.5","5","150.0","0","0","-100.0"
"2009 - 10","118863","111.1","11","57.1","80.8","8","60.0","0","0","NaN.0"
"2009 - 11","118843","50.5","5","-54.5","60.6","6","-25.0","20.2","2","NaN.0"
"2009 - 12","118824","80.8","8","60.0","40.4","4","-33.3","10.1","1","-50.0"
"2010 - 01","118805","30.3","3","-62.5","40.4","4","0.0","0","0","-100.0"
"2010 - 02","118785","40.4","4","33.3","20.2","2","-50.0","0","0","NaN.0"
"2010 - 03","118766","20.2","2","-50.0","30.3","3","50.0","0","0","NaN.0"
"2010 - 04","118746","30.3","3","50.0","20.2","2","-33.3","0","0","NaN.0"
"2010 - 05","118727","50.5","5","66.7","30.3","3","50.0","10.1","1","NaN.0"
"2010 - 06","118707","40.4","4","-20.0","40.4","4","33.3","10.1","1","0.0"
"2010 - 07","118688","40.4","4","0.0","50.6","5","25.0","0","0","-100.0"
"2010 - 08","118653","80.9","8","100.0","60.7","6","20.0","10.1","1","NaN.0"
"2010 - 09","118618","50.6","5","-37.5","40.5","4","-33.3","10.1","1","0.0"
"2010 - 10","118583","30.4","3","-40.0","0","0","-100.0","10.1","1","0.0"
"2010 - 11","118547","0","0","-100.0","0","0","NaN.0","10.1","1","0.0"
"2010 - 12","118512","60.8","6","NaN.0","20.3","2","NaN.0","20.3","2","100.0"
"2011 - 01","118477","30.4","3","-50.0","30.4","3","50.0","10.1","1","-50.0"
"2011 - 02","118442","0","0","-100.0","20.3","2","-33.3","0","0","-100.0"
"2011 - 03","118407","10.1","1","NaN.0","20.3","2","0.0","10.1","1","NaN.0"
"2011 - 04","118372","10.1","1","0.0","50.7","5","150.0","10.1","1","0.0"
"2011 - 05","118336","50.7","5","400.0","20.3","2","-60.0","0","0","-100.0"
"2011 - 06","118301","10.1","1","-80.0","10.1","1","-50.0","10.1","1","NaN.0"
