"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2016 - 05","555711","49.7","23","0.0","25.9","12","9.1","0","0","-100.0"
"2016 - 06","556379","47.4","22","-4.3","41","19","58.3","10.8","5","NaN.0"
"2016 - 07","557047","36.6","17","-22.7","15.1","7","-63.2","8.6","4","-20.0"
"2016 - 08","557828","28","13","-23.5","17.2","8","14.3","4.3","2","-50.0"
"2016 - 09","558610","66.6","31","138.5","23.6","11","37.5","17.2","8","300.0"
"2016 - 10","559391","60.1","28","-9.7","27.9","13","18.2","8.6","4","-50.0"
"2016 - 11","560172","72.8","34","21.4","42.8","20","53.8","12.9","6","50.0"
"2016 - 12","560954","44.9","21","-38.2","17.1","8","-60.0","4.3","2","-66.7"
"2017 - 01","561735","44.9","21","0.0","19.2","9","12.5","8.5","4","100.0"
"2017 - 02","562516","42.7","20","-4.8","12.8","6","-33.3","6.4","3","-25.0"
"2017 - 03","563298","76.7","36","80.0","19.2","9","50.0","17","8","166.7"
"2017 - 04","564079","78.7","37","2.8","34","16","77.8","8.5","4","-50.0"
"2017 - 05","564860","74.4","35","-5.4","34","16","0.0","17","8","100.0"
"2017 - 06","565642","65.8","31","-11.4","10.6","5","-68.7","12.7","6","-25.0"
"2017 - 07","566423","137.7","65","109.7","25.4","12","140.0","16.9","8","33.3"
"2017 - 08","567158","105.8","50","-23.1","27.5","13","8.3","33.9","16","100.0"
"2017 - 09","567893","107.8","51","2.0","27.5","13","0.0","19","9","-43.7"
"2017 - 10","568628","57","27","-47.1","25.3","12","-7.7","10.6","5","-44.4"
"2017 - 11","569363","82.2","39","44.4","16.9","8","-33.3","12.6","6","20.0"
"2017 - 12","570098","52.6","25","-35.9","16.8","8","0.0","8.4","4","-33.3"
"2018 - 01","570834","52.6","25","0.0","14.7","7","-12.5","4.2","2","-50.0"
"2018 - 02","571569","102.9","49","96.0","23.1","11","57.1","14.7","7","250.0"
"2018 - 03","572304","94.4","45","-8.2","25.2","12","9.1","16.8","8","14.3"
"2018 - 04","573039","79.6","38","-15.6","10.5","5","-58.3","8.4","4","-50.0"
"2018 - 05","573774","102.5","49","28.9","33.5","16","220.0","14.6","7","75.0"
"2018 - 06","574509","100.3","48","-2.0","14.6","7","-56.2","12.5","6","-14.3"
"2018 - 07","575244","106.4","51","6.3","14.6","7","0.0","10.4","5","-16.7"
"2018 - 08","575952","135.4","65","27.5","25","12","71.4","25","12","140.0"
"2018 - 09","576659","135.3","65","0.0","25","12","0.0","10.4","5","-58.3"
"2018 - 10","577367","97.7","47","-27.7","14.5","7","-41.7","18.7","9","80.0"
"2018 - 11","578075","137","66","40.4","27","13","85.7","10.4","5","-44.4"
"2018 - 12","578782","109.9","53","-19.7","27","13","0.0","12.4","6","20.0"
"2019 - 01","579490","89","43","-18.9","22.8","11","-15.4","12.4","6","0.0"
"2019 - 02","580198","144.8","70","62.8","33.1","16","45.5","2.1","1","-83.3"
"2019 - 03","580905","113.6","55","-21.4","24.8","12","-25.0","12.4","6","500.0"
"2019 - 04","581613","127.9","62","12.7","35.1","17","41.7","20.6","10","66.7"
"2019 - 05","582321","119.5","58","-6.5","28.9","14","-17.6","24.7","12","20.0"
"2019 - 06","583028","125.6","61","5.2","24.7","12","-14.3","14.4","7","-41.7"
"2019 - 07","583736","90.5","44","-27.9","30.8","15","25.0","12.3","6","-14.3"
"2019 - 08","584414","117","57","29.5","20.5","10","-33.3","18.5","9","50.0"
"2019 - 09","585092","90.2","44","-22.8","28.7","14","40.0","8.2","4","-55.6"
"2019 - 10","585770","63.5","31","-29.5","16.4","8","-42.9","10.2","5","25.0"
"2019 - 11","586448","71.6","35","12.9","32.7","16","100.0","22.5","11","120.0"
"2019 - 12","587126","100.1","49","40.0","14.3","7","-56.2","20.4","10","-9.1"
"2020 - 01","587804","104.1","51","4.1","24.5","12","71.4","16.3","8","-20.0"
"2020 - 02","588481","106","52","2.0","18.4","9","-25.0","22.4","11","37.5"
"2020 - 03","589159","103.9","51","-1.9","6.1","3","-66.7","12.2","6","-45.5"
"2020 - 04","589837","87.5","43","-15.7","24.4","12","300.0","NaN","NaN","NaN.0"
"2020 - 05","590515","115.8","57","32.6","26.4","13","8.3","NaN","NaN","NaN.0"
"2020 - 06","591193","75.1","37","-35.1","18.3","9","-30.8","NaN","NaN","NaN.0"
